bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b0145	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	dksA	0.17	0.569	0.43	0.106	0.161	0.202	0.189	0.135	0.16	0.138	0.119	0.0957	0.153	0.153	0.304	0.215	0.245	0.203	0.165	0.118	0.159	0.171
b0146	Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=3 SV=1	sfsA	0.00187	0.00233		0.000632	0.00223	0.00108	0.000879	0.000414	0.000735	0.00178	0.00292	0.000248	0.00056	0.000681	0.00211	0.00157	0.000699			0.00055	0.000825	
b0149	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	mrcB	0.0134	0.0154	0.0154	0.00811	0.00983	0.0136	0.0123	0.0183	0.0171	0.0173	0.0171	0.0171	0.00872	0.00779	0.00713	0.0152	0.0146	0.0156	0.0195	0.00875	0.0116	0.0203
b0149	Isoform Gamma of Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB	mrcB	0.0089	0.00157		0.00523	0.000231	0.00984	0.00263	0.0284	0.0016	0.00103	0.000736	0.000225	0.00209	0.000818	0.00288	0.00576	0.00318			0.00202	0.00158	
b0150	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	0.119	0.075	0.149	0.0797	0.123	0.114	0.121	0.111	0.154	0.0981	0.072	0.063	0.0885	0.0913	0.123	0.162	0.2	0.137	0.117	0.104	0.121	0.126
b0151	Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3	fhuC	0.0074	0.00961		0.0024	0.0235	0.00538	0.00609	0.00151	0.00327	0.00256	0.0101	0.00145	0.00208	0.00143	0.00608	0.0075	0.00628			0.00157	0.00394	
b0152	Iron(3+)-hydroxamate-binding protein fhuD OS=Escherichia coli (strain K12) GN=fhuD PE=1 SV=3	fhuD	0.0025	0.00217		0.00115	0.00256	0.00268	0.00165	0.00176	0.00244	0.00335	0.0000831	0.00142	0.000784	0.001	0.0012	0.00346	0.00405			0.000785	0.00255	
b0154	Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2	hemL	0.219	0.285	0.276	0.116	0.164	0.165	0.191	0.162	0.16	0.131	0.109	0.0867	0.0775	0.0786	0.193	0.228	0.198	0.198	0.154	0.131	0.156	0.202
b0156	Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1	erpA	0.0723	0.0773	0.0967	0.0359	0.0542	0.051	0.0694	0.0567	0.0439	0.0339	0.0236	0.0199	0.00783	0.00757	0.0461	0.0849	0.0552	0.0627	0.0592	0.0429	0.0723	0.0777
b0158	Vitamin B12-binding protein OS=Escherichia coli (strain K12) GN=btuF PE=1 SV=2	btuF	0.00103	0.00121		0.000311	0.00062	0.000795	0.00103	0.000529	0.000474	0.000022	0.0000871	0.000236	0.000351	0.000186	0.000733	0.000628	0.000512			0.000335	0.000447	
b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1	mtnN	0.088	0.143	0.139	0.0547	0.0721	0.0833	0.0806	0.0795	0.0925	0.0687	0.0558	0.0459	0.0847	0.0847	0.195	0.0936	0.159	0.113	0.0752	0.0872	0.0834	0.101
b0160	Deoxyguanosinetriphosphate triphosphohydrolase OS=Escherichia coli (strain K12) GN=dgt PE=1 SV=4	dgt	0.000239	0.000329	0.000211	0.000314	0.000307	0.00034	0.000309	0.000372	0.000304	0.000352	0.000317	0.000293	0.000121	0.000147	0.000196	0.000214	0.000221	0.000194	0.000374	0.000498	0.000304	0.000234
b0161	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	degP	0.273	0.212	0.166	0.125	0.182	0.117	0.275	0.504	0.107	0.0975	0.102	0.0894	0.0737	0.086	0.171	0.459	0.275	0.187	0.229	0.14	0.178	0.335
b0163	UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1	yaeH	0.0427	0.037	0.0479	0.0486	0.0611	0.0552	0.0635	0.0546	0.0551	0.0578	0.058	0.0585	0.0631	0.056	0.0857	0.0875	0.0842	0.0611	0.0551	0.0544	0.0496	0.0524
b0166	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1	dapD	0.545	0.414	0.361	0.227	0.238	0.282	0.362	0.342	0.288	0.216	0.182	0.128	0.181	0.181	0.462	0.787	0.586	0.481	0.339	0.201	0.246	0.502
b0167	[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2	glnD	0.0214	0.0476	0.0335	0.019	0.0247	0.0238	0.024	0.0276	0.0285	0.0266	0.0239	0.0227	0.00997	0.00957	0.0184	0.0258	0.018	0.0231	0.0251	0.0201	0.0307	0.025
b0168	Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1	map	0.0719	0.101	0.104	0.0513	0.0592	0.0643	0.0644	0.0534	0.0538	0.0441	0.0356	0.0307	0.0579	0.0605	0.136	0.0908	0.14	0.099	0.0591	0.05	0.0628	0.0793
b0169	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	rpsB	1.29	3.17	1.94	0.58	0.871	0.797	1.05	0.734	0.925	0.609	0.475	0.394	0.492	0.559	1.18	1.27	1.09	1.38	1.06	0.741	1.1	1.63
b0170	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	tsf	1	2.24	1.82	0.404	0.626	0.793	0.763	0.641	0.544	0.387	0.316	0.266	0.56	0.52	1.07	0.914	1.09	0.868	0.594	0.418	0.622	0.894
b0171	Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2	pyrH	0.0306	0.0357	0.044	0.019	0.0256	0.0237	0.0272	0.0247	0.0287	0.0182	0.0135	0.00961	0.00816	0.0158	0.0289	0.0253	0.0237	0.0304	0.0269	0.0204	0.0292	0.0236
b0172	Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1	frr	0.193	0.285	0.24	0.107	0.119	0.129	0.142	0.134	0.111	0.103	0.0816	0.0706	0.0959	0.0918	0.187	0.175	0.2	0.157	0.122	0.0895	0.121	0.144
b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Escherichia coli (strain K12) GN=dxr PE=1 SV=2	dxr	0.0052	0.00973		0.00235	0.00332	0.00355	0.00419	0.0052	0.00343	0.00357	0.026	0.00111	0.000723	0.00302	0.00226	0.00772	0.00424			0.00125	0.00391	
b0174	Undecaprenyl pyrophosphate synthase OS=Escherichia coli (strain K12) GN=uppS PE=1 SV=1	uppS	0.00148	0.00559		0.000497	0.00026	0.00125	0.00123	0.000519	0.000576	0.001	0.00138	0.000203	0.000293	0.00007	0.000818	0.000585	0.00106			0.000215	0.00106	
b0175	Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2	cdsA	0.0023	0.00424	0.000703	0.00153	0.00211	0.00315	0.00209	0.00236	0.003	0.00325	0.00322	0.00299	0.00327	0.00384	0.0036	0.00422	0.004	0.0049	0.0042	0.0035	0.00378	0.00666
b0176	Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	rseP	0.000541	0.00112	0.000569	0.000331	0.000504	0.000752	0.000652	0.000661	0.000681	0.000586	0.000524	0.000438	0.0000466	0.0000782	0.000553	0.000565	0.000208	0.000379	0.0000466	0.000164	0.00000677	0.0000467
b0177	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	bamA	0.305	0.454	0.439	0.175	0.257	0.27	0.284	0.295	0.218	0.203	0.178	0.144	0.146	0.122	0.292	0.285	0.327	0.278	0.253	0.189	0.235	0.285
b0178	Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1	skp	0.241	0.389	0.35	0.111	0.167	0.274	0.157	0.172	0.2	0.166	0.138	0.136	0.295	0.187	0.351	0.195	0.606	0.26	0.189	0.193	0.19	0.228
b0179	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase OS=Escherichia coli (strain K12) GN=lpxD PE=1 SV=2	lpxD	0.00509	0.00938	0.00688	0.00287	0.00514	0.00545	0.00569	0.00433	0.00511	0.00412	0.00357	0.00373	0.00675	0.00354	0.0059	0.00436	0.00571	0.00292	0.00374	0.00259	0.00421	0.00345
b0180	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1	fabZ	0.139	0.258	0.195	0.0789	0.0868	0.131	0.119	0.0937	0.141	0.109	0.0928	0.0807	0.0733	0.0827	0.171	0.163	0.145	0.16	0.137	0.104	0.113	0.159
b0181	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1	lpxA	0.0454	0.0692	0.0564	0.0297	0.04	0.0439	0.0468	0.0471	0.0386	0.0357	0.0302	0.0288	0.0189	0.0179	0.0362	0.0413	0.0302	0.0476	0.0463	0.0391	0.0456	0.0518
b0182	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2	lpxB	0.00218	0.00451	0.00388	0.00163	0.00199	0.00209	0.00214	0.00234	0.00206	0.00185	0.00208	0.00215	0.00137	0.000762	0.00143	0.00149	0.00134	0.00177	0.00128	0.00196	0.00137	0.00209
b0183	Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2	rnhB	0.00324	0.00762	0.00626	0.000779	0.00118	0.00127	0.00133	0.00108	0.000657	0.000415	0.000224	0.000116	0.000228	0.0000266	0.0002	0.000443	0.0000485	0.000608	0.000841	0.000467	0.00109	0.000873
b0184	DNA polymerase III subunit alpha OS=Escherichia coli (strain K12) GN=dnaE PE=1 SV=1	dnaE	0.000714	0.00603	0.000963	0.000838	0.00104	0.00153	0.000927	0.00105	0.00136	0.00124	0.0012	0.00136	0.00104	0.000826	0.00135	0.00151	0.000764	0.00137	0.00134	0.00172	0.00113	0.00156
b0185	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	accA	0.224	0.466	0.397	0.114	0.165	0.159	0.18	0.17	0.164	0.135	0.114	0.111	0.0837	0.0921	0.175	0.2	0.171	0.159	0.17	0.136	0.153	0.183
b0186	Lysine decarboxylase, constitutive OS=Escherichia coli (strain K12) GN=ldcC PE=1 SV=2	ldcC	0.000769	0.00128	0.000639	0.00129	0.00149	0.00157	0.000891	0.000882	0.00157	0.00182	0.00226	0.00279	0.00095	0.00192	0.000506	0.000388	0.00122	0.000663	0.000994	0.00108	0.00106	0.000684
b0187	Uncharacterized protein yaeR OS=Escherichia coli (strain K12) GN=yaeR PE=4 SV=1	yaeR	0.00333	0.00266	0.00282	0.00345	0.00276	0.00375	0.00323	0.0023	0.00313	0.0033	0.0039	0.00313	0.00315	0.00672	0.00801	0.00222	0.00804	0.00504	0.00522	0.00772	0.00436	0.00655
b0188	tRNA(Ile)-lysidine synthase OS=Escherichia coli (strain K12) GN=tilS PE=1 SV=1	tilS	0.0000634	0.000327	0.000000674	0.00032	0.000397	0.000000449	0.000485	0.000519	0.000599	0.00057	0.000531	0.000439	0.000000273	0.000000272	0.000302	0.000861	0.000461	0.000566	0.000541	0.00026	0.000421	0.000708
b0189	Protein rof OS=Escherichia coli (strain K12) GN=rof PE=1 SV=1	rof	0.0116	0.0142	0.0107	0.00681	0.0081	0.0129	0.0109	0.00976	0.00731	0.00628	0.00544	0.00405	0.0109	0.00801	0.0193	0.0225	0.0259	0.0118	0.00805	0.00685	0.00767	0.0113
b0190	Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1	yaeQ	0.0000669	0.000236	0.000113	0.0000429	0.0000555	0.0000268	0.0000644	0.0000659	0.0000241	0.0000215	0.0000345	0.00000879	0.00000565	0.000000235	0.000087	0.0000364	0.0000373	0.0000367	0.0000616	0.0000251	0.0000169	0.0000575
b0192	Lipoprotein NlpE OS=Escherichia coli (strain K12) GN=nlpE PE=1 SV=1	nlpE	0.000318	0.000867	0.000905	0.000456	0.000523	0.000896	0.000422	0.000324	0.00218	0.00142	0.0019	0.00225	0.00201	0.00173	0.00315	0.000596	0.000885	0.000524	0.000577	0.000852	0.000585	0.000511
b0194	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	proS	0.457	0.681	0.616	0.24	0.35	0.325	0.393	0.339	0.4	0.294	0.229	0.205	0.224	0.222	0.273	0.428	0.453	0.467	0.408	0.287	0.406	0.511
b0195	UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2	tsaA	0.00284	0.00428	0.00298	0.00229	0.00271	0.00235	0.0027	0.00242	0.00255	0.00221	0.00179	0.00145	0.00214	0.00282	0.00437	0.00458	0.00398	0.00476	0.00241	0.00277	0.00351	0.00373
b0196	Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1	rcsF	0.0183	0.0214	0.0182	0.0111	0.0128	0.0159	0.0142	0.0176	0.0153	0.0142	0.0125	0.0112	0.0195	0.0203	0.0276	0.0448	0.0259	0.0186	0.0149	0.0114	0.0134	0.0153
b0197	D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2	metQ	1.46	0.193	0.499	0.6	0.827	1.05	1.09	0.9	0.832	0.773	0.682	0.702	0.892	0.765	1.25	0.707	1.27	1.14	0.886	0.748	0.878	1.03
b0198	D-methionine transport system permease protein metI OS=Escherichia coli (strain K12) GN=metI PE=1 SV=1	metI	0.0232	0.0135	0.0076	0.00879	0.0116	0.0133	0.014	0.0183	0.0206	0.0171	0.0157	0.0192	0.00984	0.00854	0.0167	0.0159	0.0184	0.021	0.0124	0.00556	0.0102	0.0177
b0199	Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4	metN	0.0683	0.0422	0.0472	0.0345	0.0541	0.0607	0.068	0.0656	0.0829	0.0549	0.0568	0.0564	0.0337	0.0313	0.0512	0.0711	0.0664	0.0674	0.0551	0.0503	0.048	0.0843
b0200	D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1	gmhB	0.0112	0.0105	0.0103	0.00964	0.00799	0.0103	0.00983	0.00882	0.00992	0.00874	0.00747	0.00605	0.00579	0.00628	0.0188	0.00952	0.0165	0.0126	0.00782	0.00873	0.00772	0.0112
b0207	2,5-diketo-D-gluconic acid reductase B OS=Escherichia coli (strain K12) GN=dkgB PE=1 SV=2	dkgB	0.00442	0.00587	0.00769	0.0037	0.00399	0.00578	0.00641	0.0036	0.00421	0.00367	0.00274	0.00291	0.00387	0.00969	0.0104	0.00744	0.00661	0.00647	0.00441	0.00293	0.00385	0.00505
b0208	Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1	yafC	0.000443	0.00102	0.000516	0.000554	0.000414	0.000446	0.000347	0.000426	0.000546	0.000512	0.000444	0.000522	0.000346	0.000288	0.000391	0.000645	0.000553	0.000389	0.000352	0.000407	0.000475	0.00045
b0212	Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1	gloB	0.0133	0.0131	0.0116	0.0169	0.013	0.0116	0.013	0.0112	0.0116	0.0156	0.0142	0.0154	0.00613	0.00745	0.0118	0.006	0.0103	0.00972	0.0183	0.0116	0.0135	0.00975
b0214	Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1	rnhA	0.00069	0.00106	0.000832	0.000235	0.000277	0.000414	0.000347	0.000406	0.000291	0.000183	0.000192	0.000131	0.000426	0.000482	0.000893	0.000533	0.000697	0.000568	0.000345	0.000235	0.000277	0.000352
b0215	DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1	dnaQ	0.000654	0.00158	0.00133	0.000589	0.000937	0.00101	0.000599	0.000626	0.000389	0.000375	0.000345	0.000237	0.000016	0.000119	0.00064	0.00128	0.000338	0.000695	0.000668	0.000346	0.000604	0.000657
b0219	UPF0012 hydrolase yafV OS=Escherichia coli (strain K12) GN=yafV PE=3 SV=1	yafV	0.0105	0.00386		0.00547	0.00334	0.004	0.00417	0.00274	0.00271	0.00387	0.00176	0.0025	0.00107	0.00181	0.00485	0.00292	0.00865			0.00226	0.00292	
b0220	Inhibitor of vertebrate lysozyme OS=Escherichia coli (strain K12) GN=ivy PE=1 SV=1	ivy	0.0477	0.033	0.0376	0.0388	0.041	0.0396	0.03	0.0373	0.0383	0.042	0.0391	0.0381	0.0659	0.0735	0.0973	0.0918	0.0858	0.0743	0.0325	0.0335	0.0293	0.026
b0221	Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	fadE	0.0128	0.028	0.0191	0.046	0.0277	0.0323	0.0175	0.0597	0.0616	0.0783	0.0657	0.0514	0.0386	0.0391	0.0211	0.0217	0.00759	0.0177	0.0428	0.0165	0.0209	0.0292
b0222	Phosphoheptose isomerase OS=Escherichia coli (strain K12) GN=gmhA PE=1 SV=1	gmhA	0.116	0.163	0.18	0.112	0.143	0.136	0.137	0.16	0.149	0.142	0.133	0.103	0.0681	0.065	0.136	0.124	0.125	0.135	0.154	0.11	0.132	0.13
b0223	Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1	yafJ	0.00281	0.00226	0.00266	0.00256	0.00227	0.00326	0.00268	0.00241	0.00274	0.00261	0.00225	0.00251	0.00177	0.00238	0.00392	0.00466	0.00507	0.00413	0.00284	0.00322	0.00213	0.00297
b0224	Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1	yafK	0.00374	0.000694	0.000683	0.00102	0.0015	0.00189	0.00236	0.00224	0.00181	0.00121	0.000866	0.000272	0.000989	0.000659	0.00124	0.00316	0.00104	0.00426	0.003	0.0014	0.00223	0.00366
b0226	Antitoxin DinJ OS=Escherichia coli (strain K12) GN=dinJ PE=1 SV=1	dinJ	0.00404	0.00536	0.00395	0.00305	0.00242	0.00272	0.00216	0.00218	0.00239	0.00212	0.00175	0.00151	0.000431	0.000244	0.00294	0.00173	0.00285	0.00279	0.00244	0.00224	0.00198	0.00276
b0232	Antitoxin YafN OS=Escherichia coli (strain K12) GN=yafN PE=1 SV=1	yafN	0.000326	0.000299		0.000141	0.000315	0.000229	0.000104	0.000143	0.000144	0.0000603	0.00011	0.0000619	0.0000291	0.0012	0.0000732	0.0000216	0.00000161			0.0000545	0.000136	
b0237	Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3	pepD	0.211	0.523	0.393	0.249	0.246	0.233	0.252	0.225	0.237	0.214	0.18	0.145	0.183	0.197	0.326	0.318	0.379	0.358	0.265	0.211	0.259	0.309
b0238	Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=gpt PE=1 SV=1	gpt	0.0952	0.162	0.208	0.0712	0.0909	0.0799	0.1	0.0952	0.089	0.0762	0.0511	0.0412	0.0489	0.0502	0.141	0.0935	0.102	0.11	0.0658	0.0473	0.0839	0.0837
b0239	Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2	frsA	0.0193	0.0211	0.0135	0.0129	0.0122	0.0155	0.0145	0.0142	0.0132	0.0108	0.0109	0.00899	0.0105	0.00685	0.0161	0.0259	0.0217	0.0173	0.0134	0.0128	0.00999	0.0151
b0240	Sigma factor-binding protein crl OS=Escherichia coli (strain K12) GN=crl PE=1 SV=5	crl	0.0509	0.0831	0.0901	0.0162	0.0331	0.0388	0.0341	0.0334	0.0367	0.0283	0.02	0.0135	0.00682	0.00574	0.0662	0.0435	0.0383	0.0491	0.0373	0.0247	0.0349	0.0401
b0242	Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1	proB	0.044	0.0526	0.0336	0.0282	0.0309	0.0314	0.0357	0.0388	0.0406	0.0366	0.0302	0.0268	0.0131	0.0141	0.0243	0.0518	0.0372	0.0458	0.0397	0.025	0.0326	0.0457
b0243	Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2	proA	0.0699	0.0899	0.0733	0.0508	0.055	0.0582	0.0704	0.0591	0.0689	0.0634	0.0596	0.056	0.0436	0.0388	0.0668	0.0974	0.0825	0.0767	0.0589	0.0681	0.0607	0.079
b0259	Transposase insH for insertion sequence element IS5A OS=Escherichia coli (strain K12) GN=insH1 PE=3 SV=1	insH	0.00367	0.00793		0.00186	0.00471	0.00466	0.00257	0.00342	0.00358	0.00381	0.00294	0.00147	0.00174	0.00201	0.00369	0.00309	0.00234			0.00125	0.00369	
b0261	Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) GN=mmuM PE=1 SV=2	mmuM	0.00838	0.00251	0.00164	0.00482	0.00429	0.00466	0.00495	0.00461	0.00379	0.00331	0.00373	0.00421	0.00335	0.00378	0.00801	0.011	0.00764	0.00511	0.00514	0.00545	0.00344	0.00593
b0268	Uncharacterized protein yagE OS=Escherichia coli (strain K12) GN=yagE PE=1 SV=1	yagE	0.00231	0.0408	0.051	0.00535	0.00694	0.00425	0.00729	0.0044	0.00751	0.00854	0.00621	0.0034	0.0022	0.000486	0.00125	0.00137	0.00109	0.00291	0.0117	0.00591	0.00512	0.00448
b0271	Putative beta-xylosidase OS=Escherichia coli (strain K12) GN=yagH PE=3 SV=1	yagH	0.00249	0.0034	0.00321	0.00126	0.00282	0.00317	0.0025	0.00264	0.00277	0.00255	0.00335	0.00255	0.00166	0.0018	0.00146	0.00299	0.00145	0.0304	0.00182	0.00142	0.00184	0.00211
b0272	Uncharacterized HTH-type transcriptional regulator yagI OS=Escherichia coli (strain K12) GN=yagI PE=4 SV=1	yagI	0.00171	0.00027		0.000592	0.000571	0.00106	0.00143	0.000528	0.000391	0.00113	0.0000493	0.0000839	0.000289	0.000064	0.000566	0.0012	0.00105			0.000821	0.000825	
b0273	Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4	argF	0.00912	0.000658	0.00106	0.00242	0.00428	0.00268	0.00317	0.00196	0.00591	0.00257	0.00423	0.00476	0.00156	0.00101	0.00396	0.000906	0.00161	0.00275	0.00214	0.00146	0.00222	0.00328
b0281	Putative prophage CP4-6 integrase OS=Escherichia coli (strain K12) GN=intF PE=3 SV=1	intF	0.000000564	0.000371	0.000000773	0.000000457	0.0000966	0.000213	0.000175	0.000111	0.000411	0.000458	0.000374	0.000369	0.000000317	0.000000316	0.00000056	0.00000307	0.000000585	0.0000152	0.000000531	0.000000441	0.000000517	0.000000597
b0287	Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1	yagU	0.0248	0.0592	0.0505	0.0112	0.0147	0.0385	0.0145	0.0106	0.0498	0.0346	0.028	0.0212	0.0608	0.0812	0.0552	0.0143	0.0785	0.0229	0.0106	0.00995	0.0125	0.0138
b0296	50S ribosomal protein L31 type B OS=Escherichia coli (strain K12) GN=rpmE2 PE=1 SV=1	rpmE	0.0000416	0.000277		0.0000135	0.000049	0.00000507	0.00000903	0.0000311	0.0000389	0.000272	0.000112	0.00000873	0.000106	0.000435	0.000032	0.0000122	0.0000146			0.0000172	0.0000124	
b0304	Probable pyridine nucleotide-disulfide oxidoreductase ykgC OS=Escherichia coli (strain K12) GN=ykgC PE=3 SV=2	rclA	0.00145	0.00243	0.00265	0.00166	0.00163	0.00627	0.0014	0.0011	0.00185	0.00286	0.00412	0.00438	0.0101	0.00937	0.00631	0.00202	0.0124	0.00213	0.00195	0.00446	0.00206	0.00168
b0306	Uncharacterized protein ykgE OS=Escherichia coli (strain K12) GN=ykgE PE=3 SV=1	ykgE	0.000000515	0.00219	0.0000785	0.00000041	0.0000346	0.0000285	0.0000204	0.000324	0.000000488	0.0000253	0.000000367	0.000000334	0.000000284	0.000000284	0.000000498	0.000000537	0.00000052	0.000000504	0.00000047	0.000000394	0.000000464	0.000000529
b0308	Uncharacterized protein ykgG OS=Escherichia coli (strain K12) GN=ykgG PE=3 SV=2	ykgG	0.000103	0.00285	0.0000358	0.0000803	0.0000768	0.0000547	0.0000534	0.000393	0.00000687	0.00013	0.0000594	0.00000334	0.00000206	0.000000214	0.0000554	0.00000229	0.000000394	0.00000154	0.0000198	0.0000195	0.0000375	0.0000159
b0312	Betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=betB PE=1 SV=3	betB	0.0075	0.0128	0.00722	0.00557	0.00482	0.00388	0.00553	0.0035	0.00535	0.00417	0.00348	0.00177	0.00387	0.00292	0.009	0.00867	0.00505	0.00581	0.00619	0.00396	0.00447	0.00798
b0321	Uncharacterized protein yahG OS=Escherichia coli (strain K12) GN=yahG PE=4 SV=1	yahG	0.0000854	0.0000954		0.0000353	0.000602	0.0000425	0.000132	0.0000629	0.0000616	0.000108	0.00000599	0.0000786	0.00000457	0.00000232	0.0000314	0.000141	0.0000736			0.0000191	0.0000461	
b0324	Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1	yahJ	0.000184	0.000649	0.000364	0.0007	0.000456	0.00042	0.000751	0.000638	0.000602	0.000856	0.000711	0.000606	0.000519	0.00062	0.00128	0.00128	0.00125	0.00099	0.00111	0.00116	0.00083	0.000723
b0325	Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1	yahK	0.0928	0.0552	0.0947	0.175	0.141	0.127	0.111	0.0787	0.11	0.162	0.19	0.216	0.206	0.222	0.217	0.15	0.241	0.0952	0.107	0.165	0.108	0.0776
b0329	Uncharacterized protein YahO OS=Escherichia coli (strain K12) GN=yahO PE=3 SV=1	yahO	0.066	0.0309	0.0549	0.112	0.155	0.19	0.117	0.0674	0.0926	0.161	0.2	0.237	0.382	0.322	0.161	0.0607	0.165	0.036	0.124	0.246	0.104	0.0614
b0331	Methylisocitrate lyase OS=Escherichia coli (strain K12) GN=prpB PE=1 SV=3	prpB	0.00121	0.00192	0.00133	0.00135	0.026	0.0156	0.0006	0.00112	0.00123	0.0505	0.0404	0.0262	0.0152	0.0127	0.00324	0.00446	0.0029	0.00313	0.00447	0.0455	0.0059	0.00212
